Damaged_Parts,Severity,Cost_Repair_Euros
"Dickey, Door, Light",moderate,252
"Fender, Bumper, Windshield, Dickey, Light, Door",minor,246
"Door, Light, Dickey, Windshield, Bonnet",severe,610
"Bonnet, Door",minor,80
Bonnet,severe,126
"Door, Bumper, Dickey, Bonnet, Light, Fender, Windshield",severe,945
"Bonnet, Dickey, Light, Fender, Bumper",severe,535
"Bumper, Door, Light, Dickey, Bonnet, Fender",severe,804
"Bonnet, Bumper, Light",minor,60
"Dickey, Door, Windshield",moderate,288
"Light, Windshield, Bumper, Bonnet, Dickey",moderate,365
"Light, Bumper, Bonnet, Fender",minor,92
"Door, Windshield, Light, Dickey, Fender, Bumper",severe,624
"Bumper, Dickey, Bonnet, Door, Fender",severe,535
"Light, Door, Bonnet, Fender, Dickey, Bumper, Windshield",moderate,553
"Fender, Light, Door, Bumper, Windshield, Bonnet, Dickey",minor,196
"Dickey, Bonnet, Light, Windshield, Bumper, Fender",minor,192
"Light, Door",severe,254
Bumper,moderate,86
"Fender, Door, Light",minor,84
"Dickey, Light",moderate,164
"Light, Dickey, Bumper, Windshield, Bonnet, Door",moderate,564
"Bonnet, Bumper, Dickey",minor,114
Bumper,minor,45
"Bumper, Windshield, Light, Fender, Door, Bonnet",minor,132
"Door, Dickey, Windshield, Light, Bumper, Bonnet, Fender",moderate,574
Dickey,severe,114
"Dickey, Bumper, Door, Light, Bonnet, Fender",minor,264
"Windshield, Door, Bonnet, Bumper, Fender, Light",moderate,444
"Light, Bonnet, Windshield, Dickey, Door, Fender",severe,822
"Door, Bumper, Light, Fender, Bonnet, Dickey",minor,300
"Bonnet, Windshield, Dickey, Light",moderate,336
"Light, Dickey, Bonnet",minor,144
Bumper,severe,101
"Bonnet, Dickey",severe,296
"Bonnet, Dickey",minor,42
"Light, Bonnet",minor,78
"Bonnet, Dickey, Door",minor,96
Windshield,minor,31
"Windshield, Bonnet, Fender, Door, Bumper, Dickey",minor,240
"Fender, Bumper, Windshield, Light, Door",severe,620
"Bonnet, Bumper, Dickey, Fender",minor,192
"Light, Door, Bonnet, Windshield, Fender, Dickey, Bumper",moderate,448
"Door, Dickey, Windshield, Bonnet, Light",severe,570
"Windshield, Dickey, Door",moderate,267
"Fender, Bonnet, Windshield",severe,330
"Bumper, Fender, Door",minor,144
Door,minor,28
"Bonnet, Dickey, Bumper, Windshield, Door",severe,745
"Door, Dickey, Bonnet, Bumper",moderate,308
Dickey,severe,139
"Windshield, Door, Dickey, Fender",moderate,348
"Dickey, Bumper, Door, Light, Windshield, Fender",moderate,438
Bonnet,moderate,87
"Light, Door, Dickey",moderate,255
"Door, Bumper, Windshield, Bonnet",minor,200
"Light, Windshield, Fender, Door, Bumper",minor,100
"Dickey, Windshield, Bonnet, Door, Fender, Bumper",minor,228
"Bumper, Dickey, Bonnet, Door, Windshield, Fender, Light",minor,210
"Bumper, Door, Light",minor,150
"Windshield, Bonnet, Door, Bumper",severe,528
"Dickey, Light",moderate,190
"Dickey, Light, Bumper",moderate,150
"Bumper, Fender, Light, Windshield, Door, Bonnet, Dickey",severe,868
"Windshield, Fender, Door, Light, Dickey, Bonnet, Bumper",severe,798
"Bumper, Windshield",moderate,192
"Windshield, Fender, Door, Bumper, Bonnet, Dickey, Light",minor,217
Bumper,severe,119
"Light, Door, Windshield, Bonnet, Dickey, Fender, Bumper",severe,763
